iter	Passed	Remaining
406	5212	7594
407	5223	7579
408	5235	7565
409	5247	7551
410	5259	7537
411	5271	7523
412	5283	7509
413	5295	7495
414	5307	7481
415	5319	7467
416	5330	7452
417	5342	7438
418	5354	7424
419	5366	7410
420	5378	7396
421	5390	7383
422	5402	7368
423	5414	7355
424	5426	7341
425	5438	7327
426	5450	7313
427	5462	7300
428	5474	7286
429	5486	7272
430	5498	7258
431	5509	7244
432	5521	7230
433	5533	7216
434	5545	7202
435	5556	7188
436	5569	7174
437	5580	7160
438	5593	7147
439	5605	7133
440	5616	7119
441	5628	7105
442	5640	7092
443	5652	7078
444	5664	7064
445	5676	7050
446	5688	7037
447	5699	7022
448	5711	7008
449	5722	6994
450	5734	6980
451	5746	6967
452	5758	6953
453	5770	6939
454	5782	6926
455	5794	6913
456	5807	6899
457	5818	6885
458	5830	6872
459	5842	6858
460	5854	6845
461	5866	6831
462	5878	6818
463	5890	6804
464	5902	6790
465	5914	6777
466	5926	6764
467	5940	6753
468	5952	6739
469	5965	6726
470	5976	6712
471	5988	6699
472	6002	6688
473	6015	6675
474	6027	6662
475	6078	6691
476	6097	6685
477	6111	6673
478	6125	6662
479	6137	6649
480	6149	6634
481	6160	6620
482	6172	6606
483	6183	6592
484	6195	6578
485	6207	6565
486	6219	6551
487	6230	6537
488	6242	6523
489	6254	6509
490	6266	6496
491	6278	6482
492	6290	6469
493	6302	6455
494	6314	6441
495	6326	6428
496	6338	6414
497	6350	6401
498	6362	6387
499	6373	6373
500	6385	6360
501	6397	6346
502	6409	6333
503	6421	6319
504	6433	6306
505	6445	6292
506	6457	6278
507	6468	6265
508	6480	6251
509	6492	6237
510	6503	6223
511	6515	6209
512	6527	6196
513	6539	6183
514	6551	6169
515	6563	6156
516	6574	6142
517	6586	6129
518	6598	6115
519	6610	6102
520	6623	6089
521	6634	6075
522	6646	6062
523	6658	6048
524	6670	6035
525	6682	6021
526	6694	6008
527	6706	5994
528	6718	5981
529	6729	5967
530	6741	5954
531	6753	5940
532	6765	5927
533	6777	5914
534	6789	5900
535	6801	5888
536	6814	5875
537	6827	5862
538	6838	5849
539	6850	5835
540	6862	5822
541	6874	5808
542	6885	5794
543	6897	5781
544	6909	5768
545	6923	5756
546	6935	5743
547	6947	5730
548	6959	5717
549	6972	5704
550	6984	5691
551	6996	5678
552	7007	5664
553	7019	5650
554	7030	5637
555	7043	5624
556	7055	5611
557	7069	5600
558	7118	5615
559	7131	5603
560	7145	5591
561	7157	5578
562	7169	5564
563	7181	5551
564	7192	5537
565	7204	5524
566	7216	5510
567	7228	5497
568	7240	5484
569	7252	5471
570	7264	5457
571	7276	5444
572	7288	5431
573	7300	5418
574	7312	5404
575	7324	5391
576	7336	5378
577	7347	5364
578	7359	5351
579	7371	5338
580	7383	5324
581	7395	5311
582	7407	5298
583	7419	5285
584	7431	5271
585	7443	5258
586	7455	5245
587	7467	5232
588	7479	5219
589	7491	5205
590	7503	5192
591	7514	5179
592	7526	5165
593	7537	5152
594	7549	5138
595	7561	5125
596	7574	5112
597	7586	5099
598	7597	5086
599	7609	5072
600	7621	5059
601	7632	5046
602	7644	5033
603	7656	5019
604	7668	5006
605	7680	4993
606	7692	4980
607	7703	4967
608	7715	4953
609	7727	4940
610	7739	4927
611	7751	4914
612	7762	4900
613	7774	4887
614	7786	4874
615	7798	4861
616	7809	4848
617	7822	4835
618	7833	4821
619	7845	4808
620	7857	4795
621	7869	4782
622	7881	4769
623	7894	4756
624	7907	4744
625	7919	4731
626	7932	4718
627	7943	4705
628	7955	4692
629	7967	4679
630	7978	4665
631	7993	4654
632	8005	4641
633	8017	4628
634	8029	4615
635	8041	4602
636	8053	4589
637	8064	4575
638	8076	4562
639	8088	4549
640	8099	4536
641	8112	4523
642	8154	4527
643	8179	4521
644	8194	4509
645	8206	4497
646	8218	4483
647	8230	4470
648	8241	4457
649	8253	4444
650	8265	4431
651	8277	4417
652	8289	4404
653	8301	4391
654	8312	4378
655	8324	4365
656	8337	4352
657	8348	4339
658	8360	4326
659	8372	4313
660	8384	4300
661	8396	4286
662	8408	4273
663	8419	4260
664	8431	4247
665	8443	4234
666	8455	4221
667	8466	4208
668	8478	4194
669	8489	4181
670	8501	4168
671	8513	4155
672	8525	4142
673	8537	4129
674	8549	4116
675	8561	4103
676	8573	4090
677	8584	4077
678	8596	4063
679	8608	4050
680	8619	4037
681	8631	4024
682	8642	4011
683	8654	3998
684	8665	3984
685	8677	3971
686	8689	3958
687	8700	3945
688	8712	3932
689	8723	3919
690	8735	3906
691	8747	3893
692	8759	3880
693	8771	3867
694	8783	3854
695	8795	3841
696	8806	3828
697	8818	3815
698	8830	3802
699	8842	3789
700	8853	3776
701	8865	3763
702	8877	3750
703	8890	3737
704	8902	3725
705	8915	3712
706	8926	3699
707	8938	3686
708	8950	3673
709	8962	3660
710	8974	3648
711	8986	3635
712	8999	3622
713	9011	3609
714	9023	3596
715	9035	3583
716	9046	3570
717	9058	3557
718	9070	3544
719	9082	3532
720	9093	3518
721	9105	3505
722	9116	3492
723	9128	3479
724	9139	3466
725	9151	3453
726	9164	3441
727	9214	3442
728	9228	3430
729	9242	3418
730	9256	3406
731	9268	3393
732	9280	3380
733	9291	3367
734	9303	3354
735	9316	3341
736	9328	3328
737	9339	3315
738	9351	3302
739	9363	3289
740	9375	3276
741	9387	3263
742	9399	3251
743	9410	3237
744	9421	3224
745	9433	3212
746	9445	3199
747	9457	3186
748	9469	3173
749	9480	3160
750	9492	3147
751	9504	3134
752	9516	3121
753	9528	3108
754	9540	3095
755	9551	3082
756	9563	3069
757	9575	3056
758	9587	3044
759	9598	3031
760	9610	3018
761	9621	3005
762	9633	2992
763	9645	2979
764	9657	2966
765	9670	2954
766	9682	2941
767	9694	2928
768	9707	2915
769	9734	2907
770	9751	2896
771	9764	2883
772	9775	2870
773	9787	2857
774	9798	2844
775	9810	2831
776	9821	2818
777	9835	2806
778	9847	2793
779	9859	2781
780	9871	2768
781	9883	2755
782	9894	2742
783	9906	2729
784	9919	2716
785	9930	2703
786	9942	2690
787	9954	2678
788	9966	2665
789	9978	2652
790	9990	2639
791	10001	2626
792	10013	2613
793	10025	2601
794	10037	2588
795	10049	2575
796	10060	2562
797	10072	2549
798	10084	2536
799	10095	2523
800	10107	2510
801	10118	2498
802	10130	2485
803	10142	2472
804	10154	2459
805	10168	2447
806	10205	2440
807	10241	2433
808	10255	2421
809	10268	2408
810	10280	2395
811	10291	2382
812	10303	2369
813	10315	2357
814	10326	2344
815	10338	2331
816	10350	2318
817	10362	2305
818	10374	2292
819	10385	2279
820	10397	2266
821	10408	2253
822	10419	2240
823	10431	2228
824	10443	2215
825	10454	2202
826	10466	2189
827	10477	2176
828	10489	2163
829	10501	2150
830	10513	2138
831	10524	2125
832	10535	2112
833	10547	2099
834	10559	2086
835	10570	2073
836	10582	2060
837	10594	2048
838	10606	2035
839	10618	2022
840	10630	2009
841	10641	1996
842	10652	1984
843	10664	1971
844	10676	1958
845	10688	1945
846	10700	1932
847	10712	1920
848	10723	1907
849	10736	1894
850	10747	1881
851	10759	1869
852	10771	1856
853	10784	1843
854	10795	1830
855	10807	1818
856	10821	1805
857	10832	1792
858	10845	1780
859	10857	1767
860	10870	1754
861	10882	1742
862	10893	1729
863	10905	1716
864	10916	1703
865	10927	1690
866	10939	1678
867	10951	1665
868	10962	1652
869	10974	1639
870	10986	1627
871	10998	1614
872	11010	1601
873	11021	1588
874	11033	1576
875	11044	1563
876	11056	1550
877	11067	1537
878	11079	1525
879	11091	1512
880	11102	1499
881	11114	1487
882	11126	1474
883	11138	1461
884	11149	1448
885	11162	1436
886	11173	1423
887	11185	1410
888	11196	1398
889	11208	1385
890	11220	1372
891	11234	1360
892	11297	1353
893	11311	1341
894	11325	1328
895	11336	1315
896	11348	1303
897	11360	1290
898	11371	1277
899	11383	1264
900	11395	1252
901	11407	1239
902	11419	1226
903	11431	1213
904	11443	1201
905	11455	1188
906	11467	1175
907	11478	1163
908	11490	1150
909	11502	1137
910	11514	1124
911	11525	1112
912	11536	1099
913	11548	1086
914	11561	1073
915	11573	1061
916	11585	1048
917	11597	1035
918	11608	1023
919	11620	1010
920	11632	997
921	11643	985
922	11655	972
923	11667	959
924	11678	946
925	11690	934
926	11702	921
927	11713	908
928	11725	896
929	11737	883
930	11749	870
931	11760	858
932	11773	845
933	11785	832
934	11797	820
935	11810	807
936	11822	794
937	11834	782
938	11846	769
939	11858	756
940	11869	744
941	11882	731
942	11894	718
943	11906	706
944	11917	693
945	11929	680
946	11942	668
947	11954	655
948	11965	643
949	11978	630
950	11989	617
951	12001	605
952	12012	592
953	12025	579
954	12037	567
955	12048	554
956	12060	541
957	12072	529
958	12084	516
959	12096	504
960	12107	491
961	12119	478
962	12131	466
963	12143	453
964	12156	440
965	12167	428
966	12179	415
967	12191	403
968	12203	390
969	12214	377
970	12227	365
971	12238	352
972	12250	339
973	12261	327
974	12273	314
975	12286	302
976	12326	290
977	12376	278
978	12389	265
979	12404	253
980	12416	240
981	12427	227
982	12439	215
983	12452	202
984	12464	189
985	12475	177
986	12486	164
987	12498	151
988	12510	139
989	12521	126
990	12532	113
991	12544	101
992	12556	88
993	12568	75
994	12580	63
995	12592	50
996	12604	37
997	12616	25
998	12627	12
999	12639	0
