iter	Logloss
160	0.263163007
161	0.263052488
162	0.2629532171
163	0.2628960672
164	0.2628124528
165	0.2627302161
166	0.2626829233
167	0.262543372
168	0.2624704801
169	0.2623690295
170	0.262260503
171	0.2622091359
172	0.2621187793
173	0.2620477542
174	0.2619990019
175	0.2618871755
176	0.2617832096
177	0.2617016008
178	0.2616517782
179	0.261551005
180	0.2614327342
181	0.2613837472
182	0.2612829368
183	0.2612308538
184	0.2611561882
185	0.2610969925
186	0.2610247347
187	0.2609622596
188	0.2608273862
189	0.2607644542
190	0.2606784704
191	0.2605512502
192	0.2604965066
193	0.26042429
194	0.2603143691
195	0.2602599543
196	0.2602183005
197	0.2601172915
198	0.2600082518
199	0.2599024348
200	0.2598698947
201	0.2597684924
202	0.2596672395
203	0.259604135
204	0.2595097433
205	0.2594365366
206	0.2593481127
207	0.2593025246
208	0.2591692223
209	0.2590546941
210	0.2590032852
211	0.258913688
212	0.258789536
213	0.2587112128
214	0.2586345865
215	0.258579455
216	0.2585082824
217	0.2584459181
218	0.2584140788
219	0.2583620737
220	0.2582704709
221	0.2581478094
222	0.258102648
223	0.2579887206
224	0.2578798903
225	0.2578151377
226	0.2577615134
227	0.2577158489
228	0.2576520935
229	0.2576156692
230	0.257526413
231	0.2574645843
232	0.2574093847
233	0.2573190073
234	0.2572727398
235	0.257230865
236	0.2571454229
237	0.2570651207
238	0.2569656978
239	0.2568596024
240	0.2567955659
241	0.2567478838
242	0.2566996228
243	0.2566605785
244	0.2566063995
245	0.2565103194
246	0.2564579761
247	0.2563271566
248	0.2562474213
249	0.2561816808
250	0.2561264391
251	0.2560594183
252	0.2559982192
253	0.2559425347
254	0.25588241
255	0.255847873
256	0.2558109055
257	0.2557385163
258	0.2557072253
259	0.2556594332
260	0.2555753909
261	0.2555370732
262	0.2554974775
263	0.2554418427
264	0.2553590478
265	0.2553145773
266	0.2552503705
267	0.2552026729
268	0.2551578633
269	0.255108805
270	0.255024541
271	0.2549438612
272	0.2548831548
273	0.2547861434
274	0.2547244955
275	0.2546278818
276	0.2545678249
277	0.2545289049
278	0.2544292024
279	0.2543655227
280	0.2543046128
281	0.2542747745
282	0.2542255745
283	0.2541808418
284	0.2540729932
285	0.2539977374
286	0.2539089099
287	0.2538581879
288	0.2537980908
289	0.2537734642
290	0.253726702
291	0.2536793984
292	0.2536120528
293	0.2535543992
294	0.2535032956
295	0.253428022
296	0.2533870812
297	0.2533559896
298	0.2532853458
299	0.2532162238
300	0.2531335765
301	0.2530550292
302	0.2529940511
303	0.2529511902
304	0.2529037764
305	0.2528364065
306	0.2528063672
307	0.2527088196
308	0.252611196
309	0.2525208756
310	0.2524536485
311	0.2523888483
312	0.2523093104
313	0.2522291409
314	0.2521586284
315	0.2521084782
316	0.2520611389
317	0.2520133332
318	0.2519785027
319	0.2519602373
320	0.2518958836
321	0.2518606301
322	0.2517647973
323	0.2516892191
324	0.2516208201
325	0.251573213
326	0.2515307384
327	0.2514929528
328	0.2514433875
329	0.2513993504
330	0.2513579142
331	0.2512922877
332	0.2512441749
333	0.2512109859
334	0.2511445624
335	0.2510679763
336	0.2510204858
337	0.2509241606
338	0.250856915
339	0.250780293
340	0.250752659
341	0.2507111271
342	0.2506396021
343	0.2505978247
344	0.2505452564
345	0.2505165208
346	0.2504641223
347	0.2503893193
348	0.2503152897
349	0.2502950729
350	0.2502518922
351	0.2502080942
352	0.2501669884
353	0.2501199607
354	0.2500774061
355	0.2500353987
356	0.2499627535
357	0.2498770691
358	0.2498424519
359	0.2497630003
360	0.2496608955
361	0.2496176543
362	0.2495528148
363	0.2495054976
364	0.2494628574
365	0.2493993571
366	0.2493431806
367	0.2492823138
368	0.2492575496
369	0.2492137171
370	0.2491704401
371	0.2491008978
372	0.2490665162
373	0.2489956735
374	0.2489755793
375	0.2489500427
376	0.248880847
377	0.2488460614
378	0.2487844617
379	0.2487162146
380	0.2486591198
381	0.2486180787
382	0.2485584762
383	0.2485127901
384	0.2484680618
385	0.2484302979
386	0.2483885566
387	0.2483446488
388	0.248315309
389	0.2482867709
390	0.2482724964
391	0.248216457
392	0.2481843947
393	0.2481430342
394	0.2481254721
395	0.248047849
396	0.2479681754
397	0.2479554881
398	0.2479107338
399	0.2478693761
400	0.2477843659
401	0.24770825
402	0.2476500068
403	0.247557106
404	0.2475053144
405	0.2474385245
406	0.2473988604
407	0.2473453172
408	0.2472799947
409	0.2472217955
410	0.2471765632
411	0.2470718856
412	0.2470123912
413	0.2469671207
414	0.2469164267
415	0.2468659371
416	0.2468276154
417	0.246777165
418	0.2467258713
419	0.2466657663
420	0.2466010523
421	0.2465599261
422	0.2465274142
423	0.2464922797
424	0.2464117512
425	0.2463687325
426	0.2463153724
427	0.2462586558
428	0.2461802563
429	0.2461411143
430	0.246085669
431	0.2460433499
432	0.2460174991
433	0.24594934
434	0.2459271741
435	0.2458967169
436	0.2458532484
437	0.2458185564
438	0.2457528328
439	0.2456902608
440	0.245678296
441	0.2456265904
442	0.2455872177
443	0.2455641404
444	0.2455157603
445	0.245463736
446	0.2454280669
447	0.2454131562
448	0.2453422367
449	0.2453027913
450	0.2452827588
451	0.245201101
452	0.2451784195
453	0.2451274825
454	0.245073918
455	0.2449989204
456	0.24494882
457	0.2448954491
458	0.244860672
459	0.2447982841
460	0.2447635758
461	0.2447128131
462	0.2446708239
463	0.24463551
464	0.2446048963
465	0.2445850061
466	0.2445265739
467	0.2444891025
468	0.2444486099
469	0.2444133451
470	0.2443725238
471	0.2443103854
472	0.244251033
473	0.2442112342
474	0.2441557543
475	0.244105887
476	0.2440632271
477	0.2439840396
478	0.2439104583
479	0.2438615229
480	0.2438509353
481	0.2438165795
482	0.2437880092
483	0.2437692198
484	0.2437327476
485	0.2437043142
486	0.243670437
487	0.2436296316
488	0.2435791275
489	0.2435278351
490	0.2434919762
491	0.2434291869
492	0.2434001665
493	0.2433623502
494	0.2432838512
495	0.2432002702
496	0.2431556098
497	0.243093616
498	0.2430637572
499	0.2430180013
500	0.24297524
501	0.2429500569
502	0.2429091313
503	0.2428818269
504	0.2428362001
505	0.2427914262
506	0.2427273668
507	0.2426901322
508	0.242655322
509	0.2425879011
510	0.2425362615
511	0.2425095459
512	0.242453783
513	0.2424329716
514	0.2424000432
515	0.242349625
516	0.2423045765
517	0.2422696967
518	0.2422328021
519	0.242198884
520	0.2421717576
521	0.2421104214
522	0.2420790777
523	0.2420500202
524	0.2420092364
525	0.2419684041
526	0.2419055958
527	0.2418555338
528	0.2417612998
529	0.2417281992
530	0.2416817989
531	0.2416478469
532	0.2415794442
533	0.241480845
534	0.2414396347
535	0.2413077016
536	0.2412504417
537	0.2411874212
538	0.2411378194
539	0.241128483
540	0.2410920176
541	0.2410430786
542	0.2410179577
543	0.2409626371
544	0.2408923147
545	0.2408313407
546	0.2407869528
547	0.2407186518
548	0.2406051782
549	0.2405506893
550	0.2404999577
551	0.2404821578
552	0.2404295267
553	0.2404085544
554	0.2404002293
555	0.2403739679
556	0.2402885496
557	0.2402514711
558	0.2402103589
559	0.240162368
560	0.2401040416
561	0.2400441947
562	0.2399926843
563	0.2399384553
564	0.239893697
565	0.2398494698
566	0.2398194838
567	0.2397863369
568	0.2397191562
569	0.2396827621
570	0.2396255267
571	0.2395570251
572	0.2395104366
573	0.2394420206
574	0.2394111804
575	0.239379646
576	0.2393430999
577	0.2392873687
578	0.2392138818
579	0.2391702114
580	0.2391296436
581	0.2390650052
582	0.2390085219
583	0.2389714524
584	0.2389267921
585	0.2389035192
586	0.2388469529
587	0.2388158413
588	0.2387953919
589	0.2387569659
590	0.2387422806
591	0.2386802751
592	0.2386672236
593	0.2386166334
594	0.238556713
595	0.2385246829
596	0.2384476461
597	0.2383968521
598	0.2383759859
599	0.2383262402
600	0.238312651
601	0.2382849398
602	0.2382291849
603	0.2381961981
604	0.2381483565
605	0.2380908867
606	0.2380655209
607	0.2380308673
608	0.2380004424
609	0.2379734756
610	0.2379482753
611	0.2379232921
612	0.2378985133
613	0.2378583538
614	0.2378271483
615	0.2377871358
616	0.2377481447
617	0.2376922008
618	0.2376751953
619	0.2376163624
620	0.2375683344
621	0.237529539
622	0.2374975899
623	0.2374705208
624	0.2374441399
625	0.2374189167
626	0.2373775772
627	0.2373613091
628	0.2373495809
629	0.2373252325
630	0.2373053392
631	0.2372047599
632	0.2371734034
633	0.2371396914
634	0.2371031626
635	0.2370639929
636	0.237054559
637	0.236998759
638	0.2369707223
639	0.2369299803
640	0.236878626
641	0.2368411869
642	0.236813468
643	0.2367870867
644	0.2367351596
645	0.2366724126
646	0.2365926609
647	0.2365363418
648	0.2365137891
649	0.2364841822
650	0.2364438948
651	0.2364049774
652	0.2363405856
653	0.2362790885
654	0.236239599
655	0.2362039827
656	0.2361695327
657	0.2361571331
658	0.2361146214
659	0.236066236
660	0.2359984509
661	0.2359438901
662	0.2359129813
663	0.2358881801
664	0.2358220736
665	0.2357737063
666	0.2357448847
667	0.235712484
668	0.2356842092
669	0.2356707722
670	0.2356113023
671	0.235534894
672	0.2355049159
673	0.235481115
674	0.2354376713
675	0.2354005444
676	0.2353746913
677	0.2353340931
678	0.235312242
679	0.2352765237
680	0.2352378949
681	0.2352106246
682	0.2351805565
683	0.2351281322
684	0.2351236158
685	0.2350491233
686	0.235009194
687	0.2349812006
688	0.2349206122
689	0.2349125154
690	0.2348665136
691	0.2348327237
692	0.2348069146
693	0.2347506413
694	0.2346790693
695	0.2346009109
696	0.2345761352
697	0.2345490183
698	0.2345113276
699	0.2344666939
700	0.2344506419
701	0.2344065624
702	0.2343624796
703	0.2343331886
704	0.2342785959
705	0.2342180833
706	0.2342016178
707	0.2341789608
708	0.2341074331
709	0.2340934272
710	0.234018919
711	0.2339881206
712	0.2339168942
713	0.2338917214
714	0.2338576313
715	0.2338268968
716	0.2338069445
717	0.2337588158
718	0.2337106073
719	0.2336729108
720	0.2336549255
721	0.2335918209
722	0.233531104
723	0.2335154067
724	0.2334859697
725	0.2334623065
726	0.2334496362
727	0.2334304592
728	0.2334026004
729	0.2333491649
730	0.2332873972
731	0.2332536867
732	0.2332104015
733	0.2331873038
734	0.2331289311
735	0.2330690611
736	0.2330159422
737	0.2329861127
738	0.2329454595
739	0.2328921082
740	0.2328745869
741	0.2328461704
742	0.2328145529
743	0.2328030501
744	0.2327880486
745	0.2327708995
746	0.232754327
747	0.2326888178
748	0.2326483799
749	0.2326039785
750	0.2325904234
751	0.2325317035
752	0.2324976062
753	0.2324437178
754	0.232418752
755	0.2323819214
756	0.2323598537
757	0.2323341979
758	0.2323084051
759	0.2322570117
760	0.2322169354
761	0.2322124804
762	0.2321759844
763	0.2321312121
764	0.2320986091
765	0.2320563119
766	0.2320034175
767	0.2319751791
768	0.2319300289
769	0.2318782141
770	0.2318288526
771	0.2318197218
772	0.2317942378
773	0.2317550574
774	0.2317419198
775	0.2317168475
776	0.2317014923
777	0.2316665852
778	0.2316473011
779	0.2315909204
780	0.2315504943
781	0.2315319731
782	0.2314828862
783	0.2314493878
784	0.2313749106
785	0.2313618802
786	0.2313165472
787	0.231279114
788	0.2312363152
789	0.2312189591
790	0.2311446876
791	0.2311086058
792	0.2310475909
793	0.231021978
794	0.2309872417
795	0.230936388
796	0.2308915502
797	0.2308842581
798	0.230851563
799	0.2308108482
800	0.2307943668
801	0.2307786965
802	0.2307370852
803	0.2306851977
804	0.2306489056
805	0.2306099673
806	0.2305621908
807	0.2305526258
808	0.2305148334
809	0.2304725882
810	0.2304598546
811	0.230429715
812	0.2304195909
813	0.2303711216
814	0.2303296219
815	0.2303120698
816	0.2302440656
817	0.230181569
818	0.2301337667
819	0.2301016134
820	0.2300965666
821	0.2300872272
822	0.2300708116
823	0.2300491573
824	0.2299951669
825	0.2299667006
826	0.2299195667
827	0.2298989685
828	0.2298790766
829	0.2298521743
830	0.2298258438
831	0.2298133918
832	0.2297800188
833	0.2297414337
834	0.2296804854
835	0.2296623433
836	0.229629132
837	0.229611714
838	0.2295782541
839	0.2295358619
840	0.2295187959
841	0.2294941372
842	0.2294760141
843	0.2294604331
844	0.2294185241
845	0.2293760008
846	0.2293608481
847	0.2293321892
848	0.2292846087
849	0.2292411114
850	0.2292168226
851	0.2291945054
852	0.2291762562
853	0.2291178246
854	0.229099236
855	0.2290445759
856	0.2290029524
857	0.2289912974
858	0.228955799
859	0.2289042475
860	0.228852152
861	0.2288325564
862	0.2288173201
863	0.2287925686
864	0.2287874023
865	0.2287749894
866	0.2287643924
867	0.2287263435
868	0.2287129906
869	0.2286785491
870	0.2286151684
871	0.228575373
872	0.2285509461
873	0.2285391603
874	0.2285184883
875	0.2284992386
876	0.2284839018
877	0.2284333187
878	0.2283866635
879	0.2283502956
880	0.2283384353
881	0.2282750465
882	0.22824423
883	0.2282230534
884	0.2282038292
885	0.2281516658
886	0.2280916302
887	0.2280396976
888	0.2280103348
889	0.2279927734
890	0.2279175782
891	0.2278993261
892	0.227883097
893	0.2278617492
894	0.2278138283
895	0.2278056873
896	0.2277960858
897	0.2277532982
898	0.2277502609
899	0.2277065948
900	0.2276867116
901	0.2276331215
902	0.2275932681
903	0.2275720635
904	0.2275342908
905	0.2274943501
906	0.2274793793
907	0.2274493551
908	0.2274073272
909	0.2273813531
910	0.2273402602
911	0.2273133111
912	0.2273007669
913	0.2272784418
914	0.2272234349
915	0.2271514112
916	0.2271051026
917	0.2270823903
918	0.2270699777
919	0.2270546863
920	0.2270129913
921	0.22699259
922	0.2269737717
923	0.2269304182
924	0.2268930219
925	0.2268567624
926	0.2268367766
927	0.2268144111
928	0.2268002508
929	0.2267527964
930	0.2267382362
931	0.2267052411
932	0.2266595098
933	0.22662664
934	0.2266230896
935	0.2266026946
936	0.2265738864
937	0.2265225887
938	0.2265136187
939	0.22648032
940	0.2264620914
941	0.2264132749
942	0.226397045
943	0.2263614192
944	0.2263593842
945	0.2263312973
946	0.2263069483
947	0.2262727526
948	0.2262572365
949	0.226224481
950	0.2261853804
951	0.2261496936
952	0.2261146224
953	0.2260799
954	0.2260521698
955	0.2260004386
956	0.2259602147
957	0.2259217764
958	0.2258993695
959	0.2258854953
960	0.2258708765
961	0.2258461949
962	0.2258187221
963	0.225729179
964	0.2257147281
965	0.2256945631
966	0.2256791028
967	0.2256306183
968	0.2255994663
969	0.2255778617
970	0.2255508393
971	0.2255103194
972	0.2254699156
973	0.225449306
974	0.2254101227
975	0.2253540877
976	0.2253145301
977	0.2252665891
978	0.2252241962
979	0.2251894929
980	0.2251520968
981	0.2251333399
982	0.2250992867
983	0.2250846083
984	0.2250351918
985	0.2250251616
986	0.2250072293
987	0.2249794896
988	0.2249564601
989	0.224912163
990	0.2249030591
991	0.224883456
992	0.2248541948
993	0.2248276949
994	0.2247850548
995	0.2247603235
996	0.2247283331
997	0.2246988041
998	0.2246416027
999	0.2246253087
